SMILES,Solubility,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,660.2820000000003,9.3243,163.39599999999962,35.0,8.0,0.0,11.0,20.0,208.0,0.0,0.0,0.0,0.0,36.92,251.87007803628515,-5.688888673925933e-07,523.6422056449971
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,180.556,3.3588000000000005,36.454000000000015,11.0,0.0,0.0,4.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,66.59621766955395,3.059901692217984,254.10775327612677
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,228.33199999999997,2.780900000000001,63.16900000000005,16.0,3.0,0.0,3.0,7.0,94.0,0.0,1.0,1.0,1.0,38.83,98.50133780611716,2.3749595757377504,233.33220565073853
CC(C)CCCCCOC(=O)CCS,-4.4543816995,218.362,3.0659000000000023,62.73500000000005,14.0,3.0,1.0,3.0,8.0,84.0,0.0,0.0,0.0,0.0,26.3,92.81880616474798,3.092076464177061,146.22295770630774
CC(C)=C1CCC(=CC1)C,-4.2873429345,136.238,3.453000000000002,45.98200000000003,10.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1.0,1.0,0.0,63.63869283950127,2.668730432311545,178.21499122004107
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.4731390517,202.138,-9.132,18.635,10.0,6.0,0.0,10.0,0.0,48.0,0.0,0.0,0.0,0.0,126.38,92.7462049304502,-2.9999999833333334e-08,73.74860596185444
[Zn++].CC(=C)C([O-])=O,-2.3632080977000003,150.47199999999998,-0.6901000000000002,19.820999999999994,7.0,2.0,0.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,40.13,54.98355823363974,0.0,75.69058447171099
CCNCC(O)c1cccc(O)c1,-3.4541026398000003,181.235,1.0351,51.61030000000003,13.0,3.0,3.0,3.0,4.0,72.0,1.0,0.0,0.0,1.0,52.49,78.02950126508347,2.5971508214906804,262.8565878189707
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004,604.1740000000001,8.045700000000007,144.97999999999985,31.0,8.0,0.0,11.0,14.0,184.0,0.0,0.0,0.0,0.0,36.92,226.41030957869867,-4.899999846710943e-07,495.3092236814911
ClCc1ccc(Cl)cc1Cl,-3.5129421932,195.476,3.7322000000000015,46.01900000000001,10.0,0.0,0.0,3.0,1.0,54.0,1.0,0.0,0.0,1.0,0.0,74.70614391453859,3.06998271499884,232.29287048965844
CC1(C)C2CCC(=C)C1C2,-4.2923134549,136.238,2.9987000000000013,43.75200000000002,10.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,3.0,3.0,0.0,63.322464718156304,2.2310808128795734,174.47733175670794
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.8091341894,386.6210000000001,4.635500000000003,116.09770000000007,27.0,4.0,4.0,5.0,19.0,162.0,0.0,0.0,0.0,0.0,95.58,167.3590060365599,0.0,305.9330151827408
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,258.402,3.831300000000003,74.48380000000006,18.0,3.0,1.0,3.0,12.0,108.0,0.0,0.0,0.0,0.0,46.53,111.91774171112876,3.053119778367266,190.1777353463783
NO,-0.763033718,33.03,-0.6657000000000002,5.9739,2.0,2.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,46.25,12.462471862119653,1.0,2.0
C=CC(=O)OCCOc1ccccc1,-2.5636257131,192.21400000000003,1.7946,53.09300000000003,14.0,3.0,0.0,3.0,5.0,74.0,1.0,0.0,0.0,1.0,35.53,82.95512321835328,2.1621432588559366,292.660770563408
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003,499.71700000000016,6.85320000000001,143.3073999999999,35.0,4.0,1.0,6.0,12.0,192.0,3.0,0.0,0.0,3.0,77.43,211.31291541701668,2.559999906270004e-07,1108.112313870373
OC(=O)CCCCCCCCC=C,-3.5528261452,184.279,3.3778000000000024,54.76880000000004,13.0,1.0,1.0,2.0,9.0,76.0,0.0,0.0,0.0,0.0,37.3,80.65482499185117,2.9092867326592624,141.0257051333355
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475,570.3679999999999,2.2511,88.66290000000001,35.0,4.0,1.0,20.0,14.0,210.0,0.0,0.0,0.0,0.0,86.30000000000001,189.23659995248465,5.464762893378685,857.4056776910804
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.7932278922,366.50500000000017,3.6590000000000025,110.65950000000008,27.0,4.0,0.0,4.0,7.0,144.0,2.0,1.0,1.0,3.0,32.78,162.29176410035188,1.8475406911024352,736.7334819718303
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999,220.356,4.541200000000005,69.73380000000004,16.0,1.0,1.0,1.0,7.0,90.0,1.0,0.0,0.0,1.0,20.23,99.51011590126248,2.0485825635453776,273.99135499381475
CC(=C)c1cccc(c1)C(C)=C,-4.4511392252,158.24399999999994,3.7528000000000015,55.85800000000003,12.0,0.0,0.0,0.0,2.0,62.0,1.0,0.0,0.0,1.0,0.0,74.24184974150809,3.121805775248301,289.3151246505104
[Mo],-4.2038484637,95.94,-0.0025,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.756565851685,0.0,0.0
CC(C)(C)CCCCCC(=O)OC=C,-4.581332510899999,198.306,3.6697000000000015,58.82900000000004,14.0,2.0,0.0,2.0,6.0,82.0,0.0,0.0,0.0,0.0,26.3,87.33907858355865,3.2972151107499355,177.25097565253358
Cc1ccc(cc1)C(C)(C)C,-4.4720217682,148.249,3.292520000000001,49.87900000000003,11.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,69.25611369147998,2.993754788259927,223.21037742768323
OC(=O)C1CCCCC1,-1.445031941,128.17100000000002,1.6513,34.21079999999999,9.0,1.0,1.0,2.0,1.0,52.0,0.0,1.0,1.0,1.0,37.3,54.87882841291975,2.312191533568197,103.48377837619049
[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,-0.4108977358,1136.3280000000002,-14.301299999999994,212.88839999999985,69.0,26.0,3.0,38.0,15.0,340.0,5.0,0.0,1.0,6.0,433.56,507.5754717478887,4.760995252287465e-06,3615.453397418397
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.8937390711,344.502,6.115200000000006,116.13800000000003,26.0,2.0,0.0,2.0,11.0,134.0,2.0,0.0,0.0,2.0,24.72,157.27924160567198,1.4423245647333978,634.005206577911
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535399999,658.8910000000001,9.583999999999996,198.0615999999994,49.0,8.0,2.0,8.0,8.0,256.0,6.0,0.0,0.0,6.0,101.88,289.349168262918,1.5526911798946943,1937.716888128168
[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.0386996230000003,426.3480000000001,2.200100000000001,109.51080000000007,28.0,5.0,0.0,9.0,8.0,152.0,2.0,0.0,0.0,2.0,71.1,176.32884399975933,3.919994885340289e-06,820.0639648889835
C1CN(CCO1)Sc2sc3ccccc3n2,-3.8109627954,252.364,2.635600000000001,67.86900000000003,16.0,5.0,0.0,5.0,2.0,84.0,2.0,1.0,1.0,3.0,25.36,102.55888264235138,1.7778971173782272,446.544227692605
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915,152.237,2.2099,43.27300000000001,11.0,1.0,0.0,1.0,0.0,62.0,0.0,4.0,4.0,4.0,12.53,68.11978182631822,1.9803152559514368,216.15777938858872
[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.4261364852,1026.263,-9.94980000000002,197.20809999999983,63.0,23.0,4.0,35.0,15.0,314.0,5.0,0.0,0.0,5.0,414.74,451.0552539930664,4.961244189438353e-06,3157.9320304830944
[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,-3.358911212,868.35,4.107200000000002,211.2285999999996,58.0,16.0,3.0,21.0,20.0,296.0,5.0,0.0,0.0,5.0,246.79999999999995,386.4974508858,4.499988308032798e-06,2411.4689731610074
CCCN(CCC)C(=O)SCC,-2.7031744039,189.324,2.9815000000000014,55.68300000000004,12.0,2.0,0.0,3.0,5.0,72.0,0.0,0.0,0.0,0.0,20.31,79.70325373861478,3.81079475517114,121.69694286392864
C1CC(CCC1COCC2CO2)COCC3CO3,-1.8357972344,256.342,1.6236,66.56600000000006,18.0,4.0,0.0,4.0,8.0,104.0,0.0,3.0,3.0,3.0,43.52,108.92018597242529,1.2067216869131905,216.178546460492
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-3.9054642035,298.427,1.94622,85.70370000000004,21.0,5.0,3.0,5.0,4.0,122.0,1.0,0.0,0.0,1.0,88.48,126.9251357998572,8.852940067272714e-07,473.3909247801034
[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-4.1419008964,502.3070000000002,-10.5546,53.52530000000001,21.0,13.0,0.0,21.0,0.0,104.0,0.0,0.0,0.0,0.0,288.75,268.242500418216,-1.2857142818470984e-08,213.83899476132476
O=[P+]1Oc2ccccc2c3ccccc13,-1.7796231349,215.168,4.328400000000002,61.32650000000002,15.0,2.0,0.0,3.0,0.0,72.0,3.0,0.0,0.0,3.0,30.21,86.97796986821221,2.702246345245809,700.3760069281869
C=COC(=O)c1ccccc1,-2.6229591952,148.16099999999997,1.9869,42.054500000000026,11.0,2.0,0.0,2.0,2.0,56.0,1.0,0.0,0.0,1.0,26.3,65.11169376005317,2.7666051691783182,251.52506007307375
COC(=O)c1ccc(cc1)C(C)(C)C,-3.7398163758,192.258,2.770700000000001,56.48150000000004,14.0,2.0,0.0,2.0,1.0,76.0,1.0,0.0,0.0,1.0,26.3,84.89612313542725,2.9499840415194707,317.1701202996886
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004,178.275,2.556020000000001,55.74980000000004,13.0,1.0,1.0,1.0,3.0,72.0,1.0,0.0,0.0,1.0,20.23,80.41528955807264,2.743151502071168,276.2078950935822
CC(=O)OC\C=C(C)/CCC=C(C)C,-3.7549532157,196.29,3.242200000000002,59.05500000000004,14.0,2.0,0.0,2.0,5.0,80.0,0.0,0.0,0.0,0.0,26.3,86.64947555137438,3.670448527133007,232.70628424348945
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037,166.264,2.3612,49.78080000000004,12.0,1.0,1.0,1.0,2.0,68.0,0.0,1.0,3.0,3.0,20.23,74.48164058474893,2.127343829524432,215.0440022382592
CC1CC(=O)CC(C)(C)C1,-1.6471414632,140.22599999999997,2.401700000000001,41.80300000000001,10.0,1.0,0.0,1.0,0.0,58.0,0.0,1.0,1.0,1.0,17.07,62.81447888951695,2.594656161624282,146.80725598781606
C=CC(=O)OCCOc1ccccc1c2ccccc2,-3.9515188418,268.312,3.4616000000000016,78.52900000000004,20.0,3.0,0.0,3.0,6.0,102.0,2.0,0.0,0.0,2.0,35.53,118.01221742441732,2.0182771604006757,575.7988048405728
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481,488.67100000000033,1.4251999999999998,120.14900000000004,29.0,12.0,4.0,12.0,16.0,168.0,0.0,0.0,0.0,0.0,105.20000000000002,192.2988608299848,5.354117665280892,436.0525055103621
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,-4.952868802799999,284.399,4.657380000000004,87.28960000000004,21.0,2.0,2.0,2.0,2.0,112.0,2.0,0.0,0.0,2.0,40.46,126.63155963072929,2.614907029381243,591.197920970157
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799,891.500999999999,18.769099999999984,270.43599999999896,63.0,6.0,0.0,6.0,53.0,374.0,0.0,0.0,0.0,0.0,78.9,393.0012114226912,4.296169818216157,885.5832274818622
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676,186.295,3.0119000000000016,54.48600000000005,13.0,2.0,0.0,2.0,4.0,78.0,0.0,0.0,0.0,0.0,26.3,81.66373950134626,3.740275419955663,155.96343903735325
[Ca++].[O-][Si]([O-])=O,-2.6500869941,116.161,-3.2584,12.1945,5.0,3.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,63.19,60.5296530330518,0.0,29.87430298092722
CCc1ccc(C)nc1,-1.0042604536,121.18299999999998,1.95242,38.35200000000001,9.0,1.0,0.0,1.0,1.0,48.0,1.0,0.0,0.0,1.0,12.89,55.7458774436333,2.881555877646136,176.26405299160075
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046,228.332,2.3712000000000004,62.90380000000005,16.0,3.0,1.0,3.0,3.0,94.0,0.0,1.0,1.0,1.0,46.53,98.18202632880626,2.6073457888093308,235.3322056507385
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.1784471289,360.4500000000002,1.5576,95.04840000000004,26.0,5.0,3.0,5.0,2.0,142.0,0.0,3.0,4.0,4.0,94.83,153.34130809395185,1.7472814479871792,723.9130815015496
[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,-1.4270312571,622.5880000000003,-1.6177599999999943,144.59879999999987,42.0,10.0,2.0,14.0,6.0,204.0,4.0,0.0,1.0,5.0,172.59999999999997,286.563462874555,2.419997657277347e-06,1836.5953336473767
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],-4.2291529922,389.835,-1.8358,17.686499999999995,13.0,0.0,0.0,13.0,0.0,84.0,0.0,0.0,0.0,0.0,256.5,125.21846078316908,-0.0,15.576391322853388
CC(=C)C(=O)OCCOc1ccccc1,-2.9526471698,206.241,2.1847000000000003,57.71000000000004,15.0,3.0,0.0,3.0,5.0,80.0,1.0,0.0,0.0,1.0,35.53,89.32006533274989,2.177249866158138,329.98028532933694
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.1510889183,338.44400000000013,3.7177000000000016,92.76200000000009,24.0,5.0,0.0,5.0,13.0,136.0,1.0,0.0,1.0,2.0,46.150000000000006,144.73754560065805,1.632174210208813,475.07010591802384
CF,-0.1758743764999999,34.033,0.5857,7.032,2.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.904786430755784,1.0,2.0
C(COc1ccccc1)Oc2ccccc2,-3.9885265275,214.264,3.144400000000002,63.87400000000004,16.0,2.0,0.0,2.0,5.0,82.0,2.0,0.0,0.0,2.0,18.46,95.445472013368,1.6982174709605096,356.0952225964737
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128,379.37500000000017,5.998200000000005,112.04680000000003,25.0,2.0,2.0,4.0,6.0,136.0,2.0,0.0,0.0,2.0,52.04,161.05929020291927,2.60526632304541,716.9411214738501
[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,-1.4396051212999998,591.6210000000003,1.5511600000000008,153.6724999999998,42.0,8.0,3.0,11.0,6.0,208.0,4.0,0.0,1.0,5.0,158.48999999999998,265.1176663820488,4.049991229594891e-06,1889.0811835864984
CCCC(CCC)C(O)=O,-1.8579774272,144.214,2.2874,40.9418,10.0,1.0,1.0,2.0,5.0,60.0,0.0,0.0,0.0,0.0,37.3,62.24960168084558,3.609578052682948,93.43071362054202
[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,-4.285895804,397.8900000000001,4.401700000000002,90.502,21.0,6.0,0.0,7.0,0.0,100.0,4.0,0.0,0.0,4.0,25.78,153.77114141464494,1.4666666475555558e-07,718.0672908331296
Oc1ccccc1.ClCC2CO2.C=O,-4.0347567611,216.66399999999996,1.8313,55.68780000000003,14.0,3.0,1.0,4.0,1.0,78.0,1.0,1.0,1.0,2.0,49.83,88.26957003924096,2.130555535119513e-07,224.06853695944784
CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152,210.27299999999997,2.6027000000000005,57.10500000000003,15.0,3.0,0.0,3.0,6.0,84.0,0.0,1.0,1.0,1.0,43.370000000000005,90.49476953007316,2.148614906273428,255.59284654013777
CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.229282852,406.9060000000002,4.694800000000003,111.25140000000005,28.0,4.0,3.0,6.0,4.0,152.0,2.0,1.0,1.0,3.0,90.29,170.41518140389243,2.9134386371409065e-07,703.0190510341763
CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235,136.238,2.9987000000000013,43.75200000000002,10.0,0.0,0.0,0.0,0.0,56.0,0.0,1.0,3.0,3.0,0.0,63.322464718156304,2.296626579720339,186.21499122004107
C[Si](C)(C)O[Si](C)(C)C,-4.909505216,162.38099999999997,2.6728000000000005,47.77700000000003,9.0,1.0,0.0,3.0,2.0,56.0,0.0,0.0,0.0,0.0,9.23,60.68613837789019,3.746417931251032,76.2114326716684
FC(=C)C(F)(F)F,-2.7599573667,114.041,2.0319000000000003,16.303,7.0,0.0,0.0,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,37.44167383614344,3.7911184170869663,79.42592196522058
O=C1Oc2ccccc2C=C1,-1.8860303607,146.14499999999998,1.793,42.484000000000016,11.0,2.0,0.0,2.0,0.0,54.0,2.0,0.0,0.0,2.0,30.21,63.07940657528497,2.9353507979720246,428.5108208761056
CC(=C)C1CCC(=CC1)C,-3.8464965295,136.238,3.308900000000002,45.91200000000003,10.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,1.0,1.0,0.0,63.63869283950127,2.495412226862891,162.8771237954945
[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,-0.6229779303,775.969,4.725610000000006,210.43139999999937,54.0,9.0,0.0,12.0,16.0,278.0,5.0,0.0,0.0,5.0,124.12,342.9892579699156,6.497975199208905e-06,2098.8026452419267
S=[W]=S,-4.1391336425,247.974,1.2939,15.182,3.0,2.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,34.6522312788732,3.2659863237109046,23.774437510817343
[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,-1.642781181,758.7060000000004,-1.0801999999999898,178.48639999999966,52.0,14.0,0.0,20.0,9.0,254.0,4.0,0.0,2.0,6.0,229.18,342.0618158529712,3.0249947070847395e-06,2210.600386427988
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924,196.29,2.7643000000000013,54.78300000000005,14.0,2.0,0.0,2.0,1.0,80.0,0.0,2.0,2.0,2.0,26.3,86.01701930868443,2.225540267260561,269.49529453537843
[Pb++].[O-][Si]([O-])=O,-6.6197116003,283.283,-3.2584,12.1945,5.0,3.0,0.0,5.0,0.0,26.0,0.0,0.0,0.0,0.0,63.19,50.69643661138922,0.0,29.87430298092722
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126,220.312,3.3510000000000018,65.22500000000005,16.0,2.0,0.0,2.0,5.0,88.0,1.0,0.0,0.0,1.0,26.3,97.6260073642205,2.5449203918758574,327.84839499722005
[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,-2.6038411441,622.5480000000001,-4.739199999999995,143.54779999999985,42.0,12.0,2.0,16.0,6.0,202.0,5.0,0.0,0.0,5.0,197.32,282.1466774400944,2.4199974202278325e-06,2288.2512584705014
CCCOCC(C)OCC(C)O,-0.0700526508,176.25599999999997,1.1989,48.204800000000034,12.0,3.0,1.0,3.0,7.0,74.0,0.0,0.0,0.0,0.0,38.69,74.68011215421217,3.1531775862478155,93.77443751081736
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.1708247593,222.28799999999995,2.2430000000000003,60.63700000000004,16.0,4.0,0.0,4.0,3.0,88.0,0.0,1.0,1.0,1.0,58.86,95.8614723044708,2.854455780958164,352.0302611774938
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,-4.4100874366000005,385.6370000000001,4.601900000000001,118.06630000000008,27.0,4.0,4.0,5.0,19.0,162.0,0.0,0.0,0.0,0.0,101.37,167.9046629813766,0.0,305.9330151827408
CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O,-1.5218900849,469.92900000000026,4.233800000000003,123.92940000000009,33.0,7.0,0.0,10.0,8.0,172.0,3.0,0.0,0.0,3.0,115.11,196.28930415538943,8.900571395975501e-07,1087.7657079061817
